DFT_ID,Alloy,SWS0,B0,C11,C12,C44,cprime,B,G_V,G_R,G_VRH,E,nu,B_G_ratio,Cauchy,A,Hv,R2_cprime,R2_c44,n_drop_cprime,n_drop_c44,born_stable
DFT_0025,Nb68Mo16W16,3.030319,191.28,326.61,123.62,52.53,101.49,191.28,72.11,65.09,68.60,183.83,0.3398,2.7883,71.09,0.5175,4.15,0.999529,0.990579,0,0,Y
DFT_0026,Nb89Ta6W5,3.075133,174.13,271.00,125.70,42.48,72.65,174.13,54.55,50.94,52.74,143.72,0.3624,3.3014,83.22,0.5847,2.03,0.999500,0.996718,0,0,Y
DFT_0027,V10Nb10Ta35Mo10W35,3.002387,223.88,368.59,151.53,80.26,108.53,223.88,91.57,89.59,90.58,239.45,0.3217,2.4716,71.27,0.7395,6.68,0.999833,0.997599,0,0,Y
DFT_0028,V11Nb45Ta44,3.063420,166.48,263.05,118.19,67.34,72.43,166.48,69.38,69.29,69.33,182.64,0.3172,2.4012,50.85,0.9297,5.57,0.999449,0.999638,0,0,Y
DFT_0029,V18Nb41Ta41,3.047695,169.00,264.94,121.03,64.64,71.95,169.00,67.56,67.38,67.47,178.64,0.3238,2.5048,56.40,0.8983,5.03,0.999552,0.999576,0,0,Y
DFT_0030,V20Nb20Ta20Mo20W20,2.981563,204.69,348.19,132.94,67.94,107.63,204.69,83.82,79.70,81.76,216.45,0.3238,2.5037,65.00,0.6313,5.98,0.999126,0.994657,0,0,Y
DFT_0031,V21Nb39Ta40,3.040485,165.57,261.38,117.67,63.81,71.86,165.57,67.03,66.80,66.92,176.92,0.3219,2.4742,53.85,0.8881,5.10,0.999593,0.999567,0,0,Y
DFT_0032,V25Nb25Ta25W25,2.995597,193.25,312.40,133.68,65.32,89.36,193.25,74.93,73.19,74.06,197.02,0.3301,2.6093,68.36,0.7309,5.08,0.999929,0.999957,0,0,Y
DFT_0033,V25Nb25Ta25Mo25,2.985897,184.70,305.52,124.29,54.38,90.62,184.70,68.88,64.74,66.81,178.85,0.3386,2.7647,69.91,0.6001,4.11,0.999915,0.998764,0,0,Y
DFT_0034,V33Nb34Ta33,3.010136,165.26,260.45,117.67,59.10,71.39,165.26,64.02,63.47,63.75,169.45,0.3291,2.5925,58.56,0.8279,4.46,0.999664,0.999448,0,0,Y
DFT_0035,Hf1Ta81W16Re2,3.068323,217.75,327.38,162.93,92.52,82.22,217.75,88.40,88.11,88.25,233.25,0.3215,2.4673,70.41,1.1252,6.56,0.999177,0.999936,0,0,Y
DFT_0036,Hf1Ta82W15Re2,3.069967,216.60,325.49,162.16,92.84,81.66,216.60,88.37,88.02,88.19,232.96,0.3207,2.4559,69.32,1.1368,6.61,0.999267,0.999932,0,0,Y
DFT_0037,Hf1Ta84W14Re1,3.074638,206.98,313.55,153.69,94.06,79.93,206.98,88.41,87.85,88.13,231.52,0.3136,2.3487,59.64,1.1767,7.12,0.999467,0.999924,0,0,Y
DFT_0038,Hf1Ta88W9Re2,3.080742,194.84,298.21,143.15,95.64,77.53,194.84,88.39,87.47,87.93,229.30,0.3039,2.2158,47.52,1.2336,7.82,0.999693,0.999900,0,0,Y
DFT_0039,Hf1Ta88W10Re1,3.082241,192.64,295.36,141.28,95.90,77.04,192.64,88.35,87.34,87.85,228.77,0.3021,2.1928,45.38,1.2448,7.94,0.999776,0.999882,0,0,Y
DFT_0040,Hf1Ta88W11,3.083866,187.51,289.47,136.53,96.02,76.47,187.51,88.20,87.11,87.66,227.52,0.2978,2.1391,40.51,1.2556,8.25,0.999845,0.999860,0,0,Y
DFT_0041,Hf1Ta89W8Re2,3.082616,189.69,292.09,138.49,95.95,76.80,189.69,88.29,87.25,87.77,228.12,0.2996,2.1612,42.54,1.2493,8.12,0.999778,0.999879,0,0,Y
DFT_0042,Hf1Ta89W9Re1,3.084242,189.02,290.76,138.15,96.06,76.30,189.02,88.16,87.04,87.60,227.64,0.2993,2.1578,42.09,1.2589,8.13,0.999834,0.999864,0,0,Y
DFT_0043,Hf1Ta90W7Re2,3.084564,187.88,290.39,136.63,96.14,76.88,187.88,88.44,87.38,87.91,228.15,0.2976,2.1372,40.49,1.2505,8.28,0.999733,0.999868,1,0,Y
DFT_0044,Hf1Ta90W8Re1,3.086205,188.21,288.95,137.84,96.12,75.55,188.21,87.89,86.68,87.29,226.80,0.2992,2.1562,41.72,1.2723,8.12,0.999859,0.999852,0,0,Y
DFT_0045,Hf1Ta90W9,3.087693,188.46,288.58,138.40,96.21,75.09,188.46,87.76,86.48,87.12,226.47,0.2997,2.1632,42.19,1.2812,8.06,0.999850,0.999837,0,0,Y
DFT_0046,Hf1Ta91W6Re2,3.086500,188.44,288.87,138.23,96.24,75.32,188.44,87.87,86.62,87.24,226.74,0.2995,2.1600,41.99,1.2777,8.09,0.999848,0.999865,0,0,Y
DFT_0047,Hf1Ta91W7Re1,3.087958,187.86,287.70,137.94,96.32,74.88,187.86,87.75,86.42,87.08,226.29,0.2992,2.1572,41.62,1.2864,8.10,0.999854,0.999847,0,0,Y
DFT_0048,Hf1Ta91W8,3.089285,188.13,289.19,137.60,95.50,75.80,188.13,87.62,86.50,87.06,226.28,0.2995,2.1609,42.10,1.2599,8.07,0.999721,0.999962,0,0,Y
DFT_0049,Hf1V17Nb41Ta41,3.054569,169.03,261.42,122.83,64.53,69.30,169.03,66.44,66.36,66.40,176.13,0.3263,2.5457,58.30,0.9313,4.80,0.999597,0.999652,0,0,Y
DFT_0050,Hf2Ta88W10,3.089400,185.20,288.70,133.45,93.74,77.63,185.20,87.30,86.56,86.93,225.50,0.2971,2.1305,39.71,1.2076,8.25,0.999862,0.999870,0,0,Y
DFT_0051,Hf2Ta90W7Re1,3.091398,183.80,280.81,135.30,94.82,72.76,183.80,86.00,84.56,85.28,221.57,0.2991,2.1552,40.47,1.3033,7.97,0.999839,0.999883,0,0,Y
DFT_0052,Hf2Ta90W8,3.092648,183.02,279.42,134.82,94.71,72.30,183.02,85.74,84.26,85.00,220.82,0.2989,2.1531,40.11,1.3099,7.97,0.999791,0.999875,0,0,Y
DFT_0053,Hf2Ta91W7,3.094217,182.53,278.08,134.75,94.64,71.66,182.53,85.45,83.88,84.67,219.98,0.2991,2.1559,40.11,1.3206,7.92,0.999715,0.999885,0,0,Y
DFT_0054,Hf3Ta87W10,3.092894,181.71,277.04,134.05,93.10,71.50,181.71,84.46,83.06,83.76,217.81,0.3002,2.1694,40.95,1.3022,7.78,0.999859,0.999905,0,0,Y
DFT_0055,Hf3Ta89W8,3.096102,180.54,274.14,133.74,93.15,70.20,180.54,83.97,82.37,83.17,216.30,0.3003,2.1707,40.59,1.3270,7.72,0.999789,0.999908,0,0,Y
DFT_0056,Hf3V15Nb40Ta40Mo2,3.062500,160.58,248.76,116.49,62.67,66.13,160.58,64.05,64.01,64.03,169.56,0.3240,2.5078,53.82,0.9476,4.77,0.999673,0.999798,0,0,Y
DFT_0057,Hf3V15Nb41Ta41,3.066809,157.17,243.01,114.25,63.14,64.38,157.17,63.63,63.63,63.63,168.19,0.3216,2.4700,51.11,0.9807,4.88,0.999630,0.999842,0,0,Y
DFT_0058,Hf4V19Nb38Ta39,3.053399,166.46,250.72,124.33,62.85,63.20,166.46,62.99,62.99,62.99,167.80,0.3320,2.6427,61.48,0.9945,4.24,0.999673,0.999864,0,0,Y
DFT_0059,Hf7Nb23Ta23Mo23W24,3.029027,211.50,349.45,142.52,76.65,103.46,211.50,87.37,85.51,86.44,228.24,0.3201,2.4467,65.88,0.7408,6.54,0.999400,0.997230,0,0,Y
DFT_0060,Hf7Nb30Ta31W32,3.054409,197.03,310.69,140.20,75.22,85.24,197.03,79.23,78.93,79.08,209.25,0.3230,2.4915,64.98,0.8825,5.86,0.999969,0.999907,0,0,Y
DFT_0061,Hf7Nb31Ta31W31,3.055682,196.01,308.46,139.78,74.52,84.34,196.01,78.45,78.16,78.30,207.30,0.3237,2.5032,65.27,0.8835,5.76,0.999991,0.999947,0,0,Y
DFT_0062,Hf7Nb32Ta30W31,3.075005,209.54,316.00,156.31,69.13,79.85,209.54,73.41,73.05,73.23,196.77,0.3435,2.8613,87.18,0.8658,4.21,0.999976,0.999902,0,0,Y
DFT_0063,Hf8Nb30Ta31W31,3.057394,195.75,306.14,140.55,74.96,82.79,195.75,78.09,77.91,78.00,206.57,0.3241,2.5095,65.59,0.9054,5.72,0.999994,0.999954,0,0,Y
DFT_0064,Hf8Nb31Ta30W31,3.057231,196.77,307.23,141.54,74.48,82.85,196.77,77.82,77.61,77.72,206.03,0.3255,2.5318,67.06,0.8990,5.61,0.999996,0.999956,0,0,Y
DFT_0065,Hf8Nb31Ta31W30,3.073232,180.42,285.17,128.04,70.65,78.56,180.42,73.82,73.62,73.72,194.64,0.3202,2.4475,57.39,0.8993,5.68,0.999994,0.999951,0,0,Y
DFT_0068,Hf19Nb75W6,3.106183,156.66,239.02,115.48,54.47,61.77,156.66,57.39,57.17,57.28,153.17,0.3370,2.7350,61.01,0.8818,3.58,0.999915,0.998278,0,0,Y
DFT_0069,Hf20Nb20Ta20Mo20W20,3.058999,187.52,304.05,129.25,74.53,87.40,187.52,79.68,79.19,79.43,208.82,0.3144,2.3607,54.73,0.8527,6.46,0.999985,0.999821,0,0,Y
DFT_0071,Hf58Ta21Mo21,3.146672,173.18,234.88,142.33,82.40,46.27,173.18,67.95,62.79,65.37,174.19,0.3324,2.6492,59.93,1.7808,4.38,0.999983,0.999988,0,0,Y
DFT_0072,Hf61Ta23Mo16,3.159344,169.34,224.44,141.79,84.50,41.32,169.34,67.23,59.59,63.41,169.12,0.3335,2.6705,57.29,2.0448,4.18,0.999956,0.999990,0,0,Y
DFT_0073,Hf69Ta26Mo5,3.188882,167.03,208.18,146.45,90.04,30.87,167.03,66.37,50.96,58.66,157.55,0.3428,2.8473,56.42,2.9170,3.37,0.999894,0.999989,0,1,Y
DFT_0074,Zr1Ta89W9Re1,3.082523,189.19,293.14,137.21,96.83,77.96,189.19,89.28,88.29,88.78,230.33,0.2971,2.1309,40.38,1.2420,8.39,0.999923,0.999876,0,0,Y
DFT_0075,Zr1Ta91W7Re1,3.086195,186.25,288.27,135.24,96.95,76.52,186.25,88.78,87.59,88.19,228.49,0.2955,2.1120,38.29,1.2671,8.46,0.999862,0.999860,0,0,Y
DFT_0076,Zr1Ta91W8,3.087831,192.17,293.48,141.51,96.70,75.98,192.17,88.42,87.19,87.80,228.60,0.3017,2.1886,44.81,1.2727,7.96,0.999772,0.999852,0,0,Y
DFT_0077,Zr1Ta91Mo1W7,3.087416,185.54,287.06,134.78,96.25,76.14,185.54,88.21,87.05,87.63,227.13,0.2960,2.1173,38.53,1.2641,8.38,0.999754,0.999874,0,0,Y
DFT_0078,Zr1Ta91Mo2W4Re2,3.084422,185.31,288.33,133.80,96.11,77.26,185.31,88.57,87.57,88.07,228.08,0.2949,2.1041,37.69,1.2439,8.50,0.999920,0.999896,0,0,Y
DFT_0079,Zr1Ta93W5Re1,3.089295,185.15,285.34,135.06,96.87,75.14,185.15,88.18,86.83,87.51,226.79,0.2959,2.1159,38.18,1.2892,8.38,0.999690,0.999873,0,0,Y
DFT_0081,Zr1Nb88Mo4W7,3.066154,174.80,275.28,124.56,40.78,75.36,174.80,54.61,49.95,52.28,142.61,0.3640,3.3437,83.78,0.5411,1.93,0.999895,0.998050,0,0,Y
DFT_0082,Zr1Nb89Ta4Mo2W4,3.075127,169.81,266.28,121.58,40.96,72.35,169.81,53.51,49.56,51.54,140.41,0.3622,3.2950,80.62,0.5661,1.97,0.999523,0.997266,0,0,Y
DFT_0083,Zr1Nb90Mo4W5,3.069693,169.94,268.41,120.71,39.44,73.85,169.94,53.20,48.47,50.84,138.68,0.3640,3.3429,81.27,0.5340,1.85,0.999826,0.997616,0,0,Y
DFT_0084,Zr1Nb94W5,3.076541,166.58,261.94,118.90,38.56,71.52,166.58,51.75,47.28,49.51,135.15,0.3648,3.3645,80.34,0.5392,1.74,0.999293,0.996570,0,0,Y
DFT_0085,Zr1Nb94Mo2W3,3.076238,164.43,259.40,116.95,37.53,71.23,164.43,51.01,46.29,48.65,132.84,0.3654,3.3801,79.42,0.5269,1.67,0.999225,0.996328,0,0,Y
DFT_0086,Zr1Nb95Mo2W2,3.077536,163.64,257.47,116.73,36.84,70.37,163.64,50.25,45.51,47.88,130.88,0.3667,3.4177,79.89,0.5235,1.57,0.999033,0.996260,0,0,Y
DFT_0087,Zr1Nb96W3,3.079140,162.35,255.38,115.83,37.32,69.77,162.35,50.30,45.85,48.07,131.27,0.3652,3.3771,78.52,0.5348,1.64,0.998898,0.997194,0,0,Y
DFT_0088,Zr1Nb96Mo2W1,3.078684,161.70,254.09,115.51,36.32,69.29,161.70,49.51,44.86,47.18,129.00,0.3670,3.4272,79.19,0.5241,1.51,0.998894,0.996909,0,0,Y
DFT_0089,Zr1Hf1Ta90W7Re1,3.089482,183.78,284.80,133.27,94.95,75.77,183.78,87.28,86.22,86.75,224.87,0.2961,2.1185,38.31,1.2532,8.31,0.999767,0.999972,0,0,Y
DFT_0090,Zr1Hf1Ta91Mo1W5Re1,3.090987,184.01,282.21,134.91,94.82,73.65,184.01,86.35,85.04,85.70,222.55,0.2984,2.1472,40.09,1.2874,8.05,0.999747,0.999916,0,0,Y
DFT_0091,Zr1Hf1Ta91Mo1W6,3.092140,182.30,279.97,133.47,94.58,73.25,182.30,86.05,84.71,85.38,221.55,0.2974,2.1351,38.89,1.2912,8.10,0.999644,0.999905,0,0,Y
DFT_0092,Zr2Nb86Ta5Mo2W5,3.075447,170.09,266.79,121.74,42.72,72.53,170.09,54.64,51.13,52.89,143.76,0.3591,3.2162,79.02,0.5890,2.20,0.999663,0.997916,0,0,Y
DFT_0093,Zr2Nb87Ta5Mo2W4,3.077017,168.49,264.25,120.61,42.09,71.82,168.49,53.98,50.45,52.22,141.98,0.3596,3.2268,78.52,0.5861,2.14,0.999557,0.998027,0,0,Y
DFT_0094,Zr2Nb92Mo2W4,3.076452,163.97,259.18,116.36,38.54,71.41,163.97,51.69,47.24,49.47,134.84,0.3629,3.3148,77.82,0.5398,1.82,0.999404,0.997531,0,0,Y
DFT_0096,Zr3Nb86Ta5Mo2W4,3.078825,165.57,260.49,118.11,42.44,71.19,165.57,53.94,50.61,52.28,141.89,0.3572,3.1673,75.67,0.5961,2.25,0.999531,0.998458,0,0,Y
DFT_0097,Zr3Nb92W5,3.079777,161.01,254.61,114.21,39.51,70.20,161.01,51.79,47.89,49.84,135.53,0.3597,3.2308,74.70,0.5628,1.99,0.999260,0.998436,0,0,Y
DFT_0098,Zr5Nb95,3.088696,142.99,231.19,98.89,38.61,66.15,142.99,49.63,46.32,47.97,129.44,0.3491,2.9806,60.28,0.5836,2.36,0.997391,0.998102,0,0,Y
DFT_0099,Zr11Nb22Ta22Mo23W22,3.038446,194.10,328.67,126.81,68.95,100.93,194.10,81.74,78.95,80.35,211.81,0.3181,2.4158,57.87,0.6831,6.27,0.999797,0.998052,0,0,Y
DFT_0101,Zr34Nb33Ta33,3.156382,135.92,194.66,106.55,60.05,44.06,135.92,53.65,52.44,53.05,140.82,0.3273,2.5623,46.50,1.3631,3.79,0.999871,0.999937,0,0,Y
DFT_0102,Ti1Zr1Mo98,2.946773,228.92,458.68,114.04,113.68,172.32,228.92,137.14,131.59,134.37,337.14,0.2545,1.7037,0.36,0.6597,15.85,0.999922,0.999485,0,0,Y
DFT_0103,Ti2Zr1Hf5Nb92,3.090135,144.57,231.01,101.35,43.28,64.83,144.57,51.90,49.92,50.91,136.69,0.3424,2.8396,58.07,0.6676,2.88,0.998997,0.998757,0,0,Y
DFT_0104,Ti2Zr1Hf6Nb91,3.092038,144.31,229.95,101.49,44.03,64.23,144.31,52.11,50.37,51.24,137.45,0.3413,2.8163,57.46,0.6856,2.96,0.999184,0.998915,0,0,Y
DFT_0105,Ti3V15Nb39Ta40Mo3,3.047611,167.72,263.50,119.83,64.28,71.84,167.72,67.30,67.11,67.21,177.86,0.3233,2.4956,55.55,0.8948,5.04,0.999704,0.999745,0,0,Y
DFT_0106,Ti3V15Nb40Ta40Mo2,3.049503,166.44,261.13,119.10,64.37,71.01,166.44,67.02,66.87,66.95,177.10,0.3227,2.4861,54.73,0.9064,5.06,0.999710,0.999772,0,0,Y
DFT_0107,Ti3V15Nb41Ta41,3.053711,163.43,255.73,117.28,64.96,69.22,163.43,66.66,66.60,66.63,175.98,0.3205,2.4528,52.32,0.9384,5.17,0.999691,0.999832,0,0,Y
DFT_0109,Ti8V25Nb33Ta34,3.025728,164.75,251.58,121.34,61.68,65.12,164.75,63.06,63.01,63.03,167.71,0.3303,2.6137,59.66,0.9472,4.34,0.999806,0.999836,0,0,Y
DFT_0110,Ti10Hf10V10Nb45Ta25,3.077482,156.11,230.80,118.77,62.81,56.01,156.11,60.09,59.90,60.00,159.56,0.3297,2.6019,55.95,1.1214,4.17,0.999884,0.999841,0,0,Y
DFT_0111,Ti10Zr1Nb76Mo5W8,3.057396,168.61,266.88,119.48,47.57,73.70,168.61,58.02,55.43,56.73,153.02,0.3487,2.9722,71.90,0.6455,2.94,0.999974,0.999900,0,0,Y
DFT_0112,Ti11Nb22Ta22Mo23W22,3.013101,203.46,342.36,134.01,73.57,104.17,203.46,85.81,83.36,84.59,222.87,0.3174,2.4054,60.45,0.7062,6.61,0.999694,0.998106,0,0,Y
DFT_0113,Ti11Hf11V8Nb35Ta35,3.084918,158.45,215.71,129.82,64.30,42.94,158.45,55.76,53.63,54.69,147.15,0.3452,2.8971,65.52,1.4972,2.99,0.999729,0.999746,0,0,Y
DFT_0114,Ti13Hf15Nb43Ta27Re2,3.101712,157.69,229.63,121.72,83.03,53.96,157.69,71.40,68.31,69.85,182.59,0.3070,2.2575,38.69,1.5387,6.25,0.999949,0.999771,2,0,Y
DFT_0115,Ti14V29Nb29Ta28,3.010214,158.75,239.89,118.18,60.09,60.85,158.75,60.40,60.39,60.40,160.80,0.3312,2.6285,58.09,0.9875,4.11,0.999875,0.999827,0,0,Y
DFT_0116,Ti14Zr14Hf15Nb14Ta14Mo15W14,3.084979,160.06,242.34,118.92,68.36,61.71,160.06,65.70,65.54,65.62,173.19,0.3197,2.4392,50.56,1.1079,5.15,0.999981,0.999979,0,0,Y
DFT_0117,Ti15Hf5Nb55Ta25,3.088349,155.26,231.44,117.17,61.55,57.14,155.26,59.78,59.70,59.74,158.86,0.3295,2.5987,55.62,1.0772,4.16,0.999855,0.999756,0,1,Y
DFT_0119,Ti15Zr5Hf15Nb40Ta25,3.116610,144.85,206.51,114.02,66.34,46.24,144.85,58.30,56.51,57.41,152.12,0.3250,2.5232,47.68,1.4345,4.24,0.999961,0.999962,0,0,Y
DFT_0120,Ti15Zr45Nb30Ta10,3.176819,112.28,152.87,91.98,54.40,30.44,112.28,44.82,41.38,43.10,114.63,0.3298,2.6052,37.58,1.7870,2.90,0.999816,0.999841,0,0,Y
DFT_0121,Ti16Nb21Ta21Mo21W21,3.013677,194.69,324.35,129.86,72.65,97.25,194.69,82.49,80.83,81.66,214.92,0.3160,2.3843,57.21,0.7470,6.51,0.999929,0.999353,0,0,Y
DFT_0122,Ti16Zr16Hf17Nb17Ta17W17,3.113705,151.85,216.49,119.53,71.54,48.48,151.85,62.31,60.10,61.21,161.88,0.3223,2.4808,47.99,1.4755,4.67,0.999976,0.998992,0,1,Y
DFT_0123,Ti16Zr17Hf17Nb17Ta17Mo16,3.114491,144.07,207.28,112.46,64.15,47.41,144.07,57.45,56.21,56.83,150.68,0.3257,2.5351,48.32,1.3530,4.16,0.999984,0.999981,0,0,Y
DFT_0124,Ti17V17Nb17Ta16Mo17W16,2.983724,184.47,301.91,125.75,66.55,88.08,184.47,75.16,73.76,74.46,196.90,0.3221,2.4773,59.20,0.7556,5.61,0.999960,0.999683,0,0,Y
DFT_0125,Ti18Nb73Mo9,3.056156,153.37,242.62,108.74,45.83,66.94,153.37,54.27,52.44,53.36,143.44,0.3441,2.8744,62.92,0.6846,2.96,0.999977,0.999891,0,0,Y
DFT_0126,Ti18V5Nb71W6,3.051377,153.91,240.91,110.41,48.29,65.25,153.91,55.07,53.89,54.48,146.20,0.3417,2.8250,62.12,0.7401,3.15,0.999515,0.999912,0,0,Y
DFT_0127,Ti18Zr5Nb77,3.082278,143.63,219.48,105.70,44.55,56.89,143.63,49.49,48.78,49.14,132.32,0.3465,2.9231,61.15,0.7832,2.56,0.999858,0.999828,0,0,Y
DFT_0128,Ti20Nb20Ta20Mo20W20,3.013452,189.74,313.09,128.07,72.01,92.51,189.74,80.21,79.01,79.61,209.53,0.3159,2.3833,56.06,0.7784,6.37,0.999996,0.999631,0,0,Y
DFT_0129,Ti20V20Nb20Ta20W20,2.998201,174.78,273.83,125.25,68.69,74.29,174.78,70.93,70.83,70.88,187.32,0.3214,2.4658,56.56,0.9247,5.41,0.999888,0.999986,0,0,Y
DFT_0131,Ti20Zr20Hf20Ta20Mo20,3.118163,141.15,198.79,112.33,67.76,43.23,141.15,57.95,55.23,56.59,149.75,0.3232,2.4944,44.57,1.5675,4.28,0.999993,0.999975,0,0,Y
DFT_0132,Ti20Zr20Hf20Nb20Ta20,3.155455,132.81,174.44,111.99,68.17,31.23,132.81,53.39,46.27,49.83,132.88,0.3332,2.6651,43.82,2.1833,3.25,0.999987,0.999945,2,1,Y
DFT_0133,Ti25V25Nb25Mo25,2.957654,165.67,267.03,114.99,50.42,76.02,165.67,60.66,58.27,59.46,159.32,0.3397,2.7861,64.57,0.6632,3.58,0.999978,0.999870,0,0,Y
DFT_0134,Ti25Hf25Nb25Ta25,3.120373,144.50,193.85,119.82,72.16,37.01,144.50,58.10,52.30,55.20,146.89,0.3306,2.6178,47.67,1.9495,3.78,0.999974,0.999991,0,0,Y
DFT_0135,Ti25Hf25V25Nb25,3.055587,133.61,182.25,109.29,60.07,36.48,133.61,50.63,47.73,49.18,131.41,0.3361,2.7168,49.22,1.6465,3.07,0.999946,0.999981,1,0,Y
DFT_0136,Ti25Zr25Nb25Ta25,3.128953,127.35,175.62,103.21,61.41,36.20,127.35,51.32,48.03,49.68,131.89,0.3274,2.5635,41.81,1.6962,3.53,0.999908,0.999958,0,0,Y
DFT_0137,Ti25Zr25V25Nb25,3.060458,117.27,165.58,93.12,50.21,36.23,117.27,44.62,43.49,44.06,117.46,0.3331,2.6619,42.91,1.3859,2.83,0.999899,0.999918,0,0,Y
DFT_0138,Ti25Zr25Hf25Ta25,3.175143,126.27,155.93,111.44,75.59,22.24,126.27,54.25,38.58,46.41,124.04,0.3363,2.7205,35.85,3.3982,2.85,0.999894,0.999982,1,1,Y
